term,cat,formal,basically,hot,status,source,notes
Mastectomy,medicine,"Surgical removal of all breast tissue, typically as treatment for or prophylaxis against breast cancer.",No more boobs.,The founding entry. The whole site exists because of this one.,live,human,
Ischemic,medicine,"Pertaining to a restriction in blood supply to tissues, causing a shortage of oxygen needed for cellular metabolism.",A body part isn't getting enough blood.,Top of the AAMC list of words doctors say that patients don't get.,live,human,
Vascular,medicine,"Of, relating to, or containing the vessels that conduct blood or lymph through the body.",About your blood tubes.,,live,human,
Radiating pain,medicine,"Pain perceived at a site distant from its point of origin, spreading along a nerve distribution pathway.","It hurts here, but the pain travels over there.",,live,human,
Myocardial infarction,medicine,Necrosis of heart muscle resulting from prolonged interruption of coronary blood supply.,Heart attack. Part of the heart's blood got cut off and that part died.,,live,human,
Metastasis,medicine,The dissemination of malignant cells from a primary neoplasm to non-contiguous anatomical sites.,The cancer packed a suitcase and moved somewhere else.,,live,human,
Benign,medicine,A neoplasm lacking the capacity for invasion or metastasis; not malignant.,A lump that won't try to kill you.,,live,human,
Malignant,medicine,"Characterized by uncontrolled proliferation, invasion of adjacent tissue, and potential for metastasis.",A lump that will try to kill you. Deal with it now.,,live,human,
Biopsy,medicine,Removal and histopathological examination of tissue from a living body to establish a precise diagnosis.,They snip a tiny piece of you and look at it under a microscope.,,live,human,
Prognosis,medicine,A forecast of the probable course and outcome of a disease based on clinical evidence.,The doctor's best guess at how this ends for you.,,live,human,
Idiopathic,medicine,Arising spontaneously from an obscure or unknown cause; a primary disease without identifiable etiology.,"Medical for ""we have no idea why this is happening.""",,live,human,
Remission,medicine,"A period during which the signs and symptoms of a disease abate or disappear, without implying cure.","The disease went quiet. Maybe gone, maybe napping.",,live,human,
GLP-1 agonist,medicine,A class of incretin-mimetic agents that potentiate glucose-dependent insulin secretion and delay gastric emptying.,Ozempic. A shot that makes you feel full so you eat less.,Half the internet is on it or arguing about it.,live,human,
Placebo effect,medicine,A measurable improvement in condition attributable to the expectation of treatment rather than the treatment itself.,Fake pill works because you believed in it.,,live,human,
Sepsis,medicine,A life-threatening organ dysfunction caused by a dysregulated host response to infection.,"An infection made your whole body panic, and the panic is what's killing you.",,live,human,
Intubation,medicine,Insertion of an endotracheal tube to maintain airway patency and enable mechanical ventilation.,Breathing tube down the throat. A machine breathes for you.,,live,human,
Hypertension,medicine,Persistently elevated arterial blood pressure exceeding established clinical thresholds.,Your blood is pushing on your pipes too hard.,,live,human,
Triage,medicine,The systematic prioritization of patients based on the severity of their condition and available resources.,Deciding who gets helped first. Sickest wins.,,live,human,
Edema,medicine,"Abnormal accumulation of interstitial fluid within tissues, producing observable swelling.",You're puffy because water is stuck where it shouldn't be.,,live,human,
Angioplasty,medicine,"Endovascular dilation of a stenosed artery, typically via balloon catheter with or without stent placement.",They inflate a tiny balloon inside your clogged artery to squish it open.,,live,human,
AI slop,ai,"Low-quality, mass-produced synthetic media generated with minimal human curation, optimized for volume over value.",Lazy AI junk flooding your feed.,Dictionary.com literally added it to the dictionary this year.,live,human,
Agentic AI,ai,"Systems capable of autonomous goal-directed behavior, decomposing objectives into actions executed with limited human oversight.",AI that does stuff for you instead of just talking at you.,"The buzzword of 2026, per basically every glossary.",live,human,
Context engineering,ai,"The discipline of architecting the full information environment supplied to a language model, including memory, retrieval, tools, and state.",Feeding the AI the right stuff so it stops being dumb.,"The 2026 successor to ""prompt engineering.""",live,human,
RAG,ai,Retrieval-Augmented Generation: an architecture wherein a model retrieves relevant external documents prior to response synthesis.,The AI checks its notes before answering instead of guessing.,,live,human,
Hallucination,ai,"Generation of fluent but factually unsupported content by a language model, presented with unwarranted confidence.",The AI made it up and said it like a fact.,,live,human,
LLM,ai,Large Language Model: a transformer-based neural network trained on massive text corpora to predict token sequences.,Extremely fancy autocomplete.,,live,human,
Token,ai,"The atomic unit of text processed by a language model, typically a subword segment produced by a tokenizer.",Word chunks. The AI reads and bills you in chunks.,,live,human,
Inference,ai,The computational process of executing a trained model to produce outputs from novel inputs.,The AI actually running. Training is school; inference is the job.,,live,human,
Fine-tuning,ai,Continued training of a pre-trained model on a narrower dataset to specialize its behavior for a target domain.,Sending a smart AI to trade school.,,live,human,
Prompt injection,ai,An adversarial technique embedding malicious instructions within input data to override a model's intended directives.,"Tricking the AI with hidden instructions, like slipping a note into its homework.",,live,human,
AGI,ai,Artificial General Intelligence: a hypothetical system exhibiting human-level competence across arbitrary cognitive domains.,"AI that's good at everything, not just one thing. Doesn't exist. Ask again next year.",,live,human,
RAMageddon,ai,A sustained global shortage of random-access memory driven by hyperscaler datacenter procurement for AI workloads.,"Big Tech bought all the memory chips, so your laptop costs more.",Coined this year as RAM prices spiked.,live,human,
GEO,ai,Generative Engine Optimization: the practice of structuring content to maximize citation and visibility within AI-generated answers.,"SEO, but for getting ChatGPT to mention you.",Marketers' new obsession now that nobody clicks links.,live,human,
Vibe coding,ai,"Software development conducted primarily through natural-language delegation to AI agents, with minimal direct code authorship.",Telling the AI what you want and hoping.,HN's current favorite fight: it builds your pipeline but can't explain it six months later.,live,human,
GPT-ese,ai,"The recognizable stylistic register of AI-generated prose, characterized by formulaic constructions and elevated diction.","That AI writing smell. ""Delve,"" ""tapestry,"" you know it when you see it.",,live,human,
Compute,ai,"Aggregate processing capacity, typically GPU resources, required for training and serving machine learning models.",The expensive chips everyone is fighting over.,,live,human,
Open weights,ai,"Distribution of a model's trained parameters for public download, without necessarily disclosing training data or code.",You can download the AI's brain and run it yourself.,,live,human,
Multimodal,ai,"Capable of processing and generating multiple data modalities, including text, images, audio, and video, within a unified model.","The AI has eyes and ears now, not just a keyboard.",,live,human,
Quantization,ai,Reduction of numerical precision in model parameters to decrease memory footprint and inference cost.,"Shrinking the AI's brain so it fits on your computer. Slightly dumber, way cheaper.",,live,human,
Yen carry trade,finance,A strategy of borrowing in low-interest-rate Japanese yen to fund positions in higher-yielding foreign assets.,"Borrow cheap Japanese money, bet it elsewhere, pocket the difference. Until it unwinds.","The 4,600-upvote ELI5 thread of the month, thanks to the yen crashing.",live,human,
